run,notes,oxy_bias_W,work_press_mTorr,work_dist,work_dist_cm,stage_grounded,cooling,outcome,rc_fwhm_deg,rc_fwhm_err,rc_r2,rc_nwarn,rc_valid,rc_warn,xrd_2theta_deg,xrd_002_fwhm_deg,c_axis_A,c_err,strain_pct,xrd_snr,scherrer_nm,xrd_status,Sq_1um_nm,Sq_2um_nm,Sq_5um_nm,Sq_mean_nm,Sq_min_nm,Sq_max_nm,grain_1um_nm,grain_2um_nm,grain_5um_nm,gate_texture,gate_rough,gate_xrd,passes_all,abn_press,has_data
15,40W oxy,40.0,2.4,6.35 cm (top),6.35,False,N2 cooling in main chamber @ 1 Torr for 120 min; cold to touch,looks smooth and shiny,1.7376838411215725,0.0027909552958031,0.9994513614873928,0.0,True,,36.0337,0.287849,4.98098,3.7574192471806894e-05,-0.7772908366533832,3716.77,29.02187749449116,PASS,0.5601238017117931,0.6285797009772486,0.6205529526881745,0.6030854851257387,0.4710043933509807,0.7047995625981841,21.45142344228326,29.522481764941432,44.95108089051025,True,True,True,True,False,True
16,changed WD,40.0,10.0,10.033 cm (14.5 turns),10.033,False,N2 cooling in main chamber @ 1 Torr for 120 min; cold to touch,scrapped,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,True,False
17,W series: 30W,30.0,2.5,6.35 cm (top),6.35,False,N2 cooling in main chamber @ 1 Torr for 105 min cold to touch,scrapped; 200C bakeout for the past 48 hours; looks smooth and shiny,1.716986015643258,0.0028753504361731,0.9995188264393554,0.0,True,,36.0335,0.292019,4.98101,4.003611198730054e-05,-0.7766932270916175,2757.65,28.607431957328497,PASS,,,,,,,,,,True,False,True,False,False,True
18,W series: 20W,20.0,2.5,6.35 cm (top),6.35,True,N2 cooling in main chamber @ 1 Torr for 90 min cold to touch,scrapped; looks polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
19,W series: 50W,50.0,2.5,6.35 cm (top),6.35,True,N2 cooling in main chamber @ 1 Torr for 70 min okay to touch,scrapped; forgot to turn on network matcher during deposition; looks dull and not shiny,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
20,W series: 10 W,10.0,2.5,6.35 cm (top),6.35,True,vacuum cool overnight main chamber,scrapped; looks dull and not shiny,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
21,W series: 40W (stage grounded),40.0,2.5,6.35 cm (top),6.35,True,,scrapped,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
22,40W Control: N2 cool 80 min (lukewarm),40.0,2.6,6.35 cm (top),6.35,False,N2 cooling in main chamber @ 1 Torr for 80 min. ,"time start when sputter & heat off; 5 min to 1 Torr N2, stage @ 100C; stag lukewarm to touch when taken out. Looks crystalline by visual inspection, same as #15",1.454453980316036,0.0021384794533865,0.999566254766924,0.0,True,,36.0298,0.285919,4.9815,3.738597240549266e-05,-0.7669322709163343,2819.62,29.217456511325544,PASS,0.3598696072312913,0.4289485351208316,0.5295156012930368,0.4394445812150532,0.3598696072312913,0.5295156012930368,21.09920740536136,31.765886772862792,41.81306811009804,True,True,True,True,False,True
23,40W Control: Stage grounded,40.0,2.6,6.35 cm (top),6.35,True,N2 cooling in main chamber @ 1 Torr for 120 min; cold to touch,"time start when sputter & heat off; 3 min 44 sec to 1 Torr N2, stage @ 44 C; stage cold to touch when taken out. Looks dull and not shiny with clear sputter boundary. Suspect stage grouding causes the loss of crystallinity.,",,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
24,2.5 mTorr pre-sputter,40.0,2.5,6.35 cm (top),6.35,False,N2 cooling in main chamber @ 1 Torr for 120 min; cold to touch,cool to touch; looks smooth and crystalline,1.2147603556153617,0.0048264265689784,0.9967746600441288,0.0,True,,36.0283,0.289942,4.98171,0.000106359594358872,-0.7627490039840625,1388.58,28.811936136492967,PASS,0.5543541514893713,0.5338913042661142,0.6178577110635661,0.5809902194706544,0.5338913042661142,0.6388683534972126,18.089905665449027,25.389277063420916,41.65215490245666,True,True,True,True,False,True
