file,status,fwhm_deg,d_fwhm_deg_1sigma,fwhm_ci95_deg,fwhm_arcsec,center_deg,d_center_deg_1sigma,eta,d_eta,chi2_red,r2,points_per_fwhm,snr,asymmetry,max_corr_fwhm,expected_2theta_deg,expected_theta_deg,center_minus_expected_theta_deg,n_warnings,warnings
15_0617_oxy_40W_RC.xy,OK,1.737683841405869,0.0030663086934157014,0.00602461506528501,6255.661829061129,17.972540788118234,0.0010404739512283724,0.543539308413102,0.009084389948646299,1.2070519941727762,0.9994513614821928,173.7683841405906,89.1588100012286,0.008957299672815416,0.46857289982872224,35.76648608706432,17.88324304353216,0.08929774458607298,1,Fitted background is negative; scan tails may not define a true baseline.
17_0622_oxy_30W_RC.xy,OK,1.7169860176854228,0.002875350376283287,0.005649424414484658,6181.149663667522,17.98969481304107,0.0010007183064164374,0.4898028844835998,0.008650422984328747,0.9460845034022026,0.9995188264392277,171.69860176854593,82.8310948848823,0.001806106247500287,0.46908278611317805,35.76648608706432,17.88324304353216,0.106451769508908,1,Fitted background is negative; scan tails may not define a true baseline.
22_0624_80m_N2_cool_RC.xy,OK,1.4544539801595293,0.002319706676839696,0.004557708042357239,5236.034328574306,17.946811839066747,0.0008120543364694896,0.47727019735160403,0.0068186074074500745,1.1766735215750945,0.9995662547665528,145.44539801595604,88.43142560990553,0.011719241152945935,0.6129480121067503,35.76648608706432,17.88324304353216,0.06356879553458583,1,Fitted background is negative; scan tails may not define a true baseline.
24_0625_oxy_40W_2.5mT_ps_RC.xy,OK,1.214760338901956,0.005761074439967706,0.011319230819058446,4373.137220047041,17.985889079819657,0.0021419279566105144,0.34118536844677905,0.01565763734143749,1.4248053058645482,0.9967746603225409,121.47603389019818,29.055902653510532,0.006326326469823025,0.7031202817197956,35.76648608706432,17.88324304353216,0.10264603628749569,1,Fitted background is negative; scan tails may not define a true baseline.
25_0626_3.5_vac_RC.xy,OK,1.3390444294018151,0.007312589891046415,0.014367613840853584,4820.559945846534,18.172239960655112,0.0025937358749242,0.4874718637638202,0.020333299568851878,1.2226112500110125,0.9955622658266986,133.90444294018437,26.86342517219531,0.0012250647734749539,0.5506975688028763,35.76648608706432,17.88324304353216,0.28899691712295095,1,Fitted background is negative; scan tails may not define a true baseline.
26_0629_mixed_psRC.xy,OK,1.8386921707566604,0.005167354252178454,0.010152702610205977,6619.291814723977,17.883523282073842,0.0017542518848893943,0.5025419176763245,0.0171240038950073,1.0410710758156205,0.9984153249448365,183.86921707566995,51.0468395833329,0.0018809695452301025,0.5152495009665086,35.76648608706432,17.88324304353216,0.0002802385416806885,1,Fitted background is negative; scan tails may not define a true baseline.
27_0629_Mercer_RC.xy,OK,4.740499999941717,3.240766186759423,6.367385264811022,17065.79999979018,17.57075380832635,0.08809667970107833,1.507262364008848e-09,1.3627967421196927,1.0540454046537096,0.7666700765019471,474.0499999941818,9.80000400564777,0.036798764331389906,0.999775240077912,35.76648608706432,17.88324304353216,-0.31248923520580973,5,Peak center is within one FWHM of a scan edge; widen the scan range.; Pseudo-Voigt eta is near a bound; a pure Gaussian/Lorentzian may describe the peak.; Peak SNR <10; FWHM uncertainty may be unreliable.; FWHM is highly correlated with another fit parameter; uncertainty is model-dependent.; Peak center differs from CIF Bragg theta by -0.312 deg; verify 2theta setting/indexing.
28_0629_mixed_ps2RC.xy,OK,1.123550711734454,0.0019430497563472286,0.0038176609092960864,4044.7825622440346,17.924726315076086,0.0006967403113646204,0.3649664099635299,0.004941461901428187,2.209487733261359,0.9997302451459377,112.3550711734478,109.1995498638136,0.0017274119146763343,0.7336708341994249,35.76648608706432,17.88324304353216,0.041483271543924616,2,"Reduced chi-square >2; inspect residuals for asymmetry, shoulders, or wrong background.; Fitted background is negative; scan tails may not define a true baseline."
29_0630_no_350_RC.xy,OK,1.0877514265566617,0.002039300181263003,0.004006771601651627,3915.905135603982,17.96484067434398,0.0007286941626787177,0.3748901658757386,0.0052018403774569165,2.651759296280837,0.9997409173453577,108.77514265566849,112.55944193816205,0.002064847570199227,0.7320077707345675,35.76648608706432,17.88324304353216,0.08159763081181737,2,"Reduced chi-square >2; inspect residuals for asymmetry, shoulders, or wrong background.; Fitted background is negative; scan tails may not define a true baseline."
30_0701_40W_RC.xy,OK,2.0982442977910862,0.010845978949270326,0.021309938009779997,7553.67947204791,17.962173326285924,0.0032936891114538585,0.45339675303281085,0.031136136725497067,1.0868245875302873,0.9962207862750299,209.8244297791131,35.114518759170174,0.008768100607659148,0.7517498375912298,35.76648608706432,17.88324304353216,0.07893028275376324,2,Peak center is within one FWHM of a scan edge; widen the scan range.; Fitted background is negative; scan tails may not define a true baseline.
32_0701_40W_overnight_RC.xy,OK,1.956720360842778,0.007280334714289115,0.014298327800405205,7044.193299034,17.93877844479424,0.002571314596533283,0.425824654129203,0.02337469577376462,1.0655588622090806,0.9961626738245503,195.67203608428196,29.17159087082954,0.02527105497854514,0.5843789858050334,35.76648608706432,17.88324304353216,0.05553540126208034,1,Fitted background is negative; scan tails may not define a true baseline.
33_0702_50W_RC.xy,OK,1.9338355852379767,0.006378621954759116,0.012517110700904175,6961.808106856716,17.93713164745485,0.002413579959229343,0.2682620155518925,0.007561565235931634,1.290033172938786,0.9972593669121574,193.38355852380178,29.0844203171462,0.018681644456165988,0.7159394589636725,35.76648608706432,17.88324304353216,0.05388860392269024,0,
