filename,center_2theta_deg,fwhm_total_deg,fwhm_gauss_deg,fwhm_lorentz_deg,eta,coherence_length_nm,c_lattice_ang,strain_percent,gamma_at_bound,sigma_at_bound
15_0617_oxy_40W_XRD.xy,36.033652,0.28738971,0.28718129,1.8,0.0096401479,29.068217,4.9809782,0.035712362,True,False
17_0622_oxy_30W_XRD.xy,36.033651,0.29227617,0.29066814,1.8,0.068672513,28.582236,4.9809784,0.035715723,True,False
22_0624_80m_N2_cool_XRD.xy,36.029707,0.2856968,0.28569476,1.8,2.873337e-10,29.240135,4.9815055,0.046301669,True,False
24_0625_oxy_2.5mT_ps_XRD.xy,36.028233,0.28986513,0.28986513,0.009903676,1.2010707e-10,28.819534,4.9817026,0.050260212,True,False
25_0626_3.5_vac_XRD.xy,36.039534,0.0003949574,0.29461194,0.00034299907,0.56956198,21151.764,4.9801922,0.019927021,True,False
26_0629_mixed_psXRD.xy,36.037342,0.29325706,0.29285157,1.8,0.017929849,28.486932,4.980485,0.025807706,True,False
27_0629_Mercer_XRD.xy,36.007007,0.37586468,0.3953459,0.26848979,0.17554996,22.224155,4.9845419,0.10728347,False,False
28_0629_mixed_ps2XRD.xy,36.025952,0.27807643,0.27807643,0.010803586,2.6595035e-13,30.041108,4.9820074,0.056382855,True,False
29_0630_no_350_XRD.xy,36.034778,0.2763645,0.2763645,0.00020000001,3.3053423e-15,30.227953,4.9808276,0.032688836,True,False
30_0701_40W_XRD.xy,36.018696,0.31588237,0.34486645,0.078827433,0.043170831,26.445135,4.9829778,0.075871966,False,False
32_0701_40W_overnight_XRD.xy,36.023141,0.33425322,0.3290361,0.70534471,0.098659404,24.992003,4.9823833,0.063931744,False,False
33_0702_50W_XRD.xy,36.025239,0.3329877,0.32876662,1.8,0.1330937,25.087134,4.9821027,0.058297375,True,False
